value,Wall,Door_Start,Door,Door_Passed,Wall_End
0,0.17663934426229508,0.00625,0.0017543859649122807,0.00625,0.03333333333333333
1,0.04139344262295082,0.00625,0.0017543859649122807,0.00625,0.15454545454545454
2,0.20942622950819673,0.13125,0.10701754385964912,0.06875,0.18484848484848485
3,0.14385245901639346,0.25625,0.2649122807017544,0.25625,0.06363636363636364
4,0.13155737704918033,0.13125,0.22982456140350876,0.31875,0.18484848484848485
5,0.11516393442622952,0.25625,0.19473684210526315,0.13125,0.09393939393939395
6,0.029098360655737704,0.00625,0.0368421052631579,0.06875,0.12424242424242424
7,0.057786885245901635,0.13125,0.0719298245614035,0.00625,0.06363636363636364
8,0.024999999999999998,0.00625,0.01929824561403509,0.06875,0.03333333333333333
9,0.07008196721311476,0.06875,0.0719298245614035,0.06875,0.06363636363636364
