value,Wall,Door_Start,Door,Door_Passed
0,0.001256281407035176,0.0,0.0,0.0
1,0.0037688442211055275,0.0,0.007751937984496124,0.0
2,0.016331658291457288,0.06779661016949153,0.05426356589147287,0.01639344262295082
3,0.03015075376884422,0.0847457627118644,0.17829457364341086,0.01639344262295082
4,0.38944723618090454,0.22033898305084745,0.3178294573643411,0.0
5,0.49748743718592964,0.3559322033898305,0.35658914728682173,0.36065573770491804
6,0.03015075376884422,0.22033898305084745,0.08527131782945736,0.36065573770491804
7,0.01507537688442211,0.05084745762711865,0.0,0.14754098360655737
8,0.011306532663316583,0.0,0.0,0.04918032786885246
9,0.005025125628140704,0.0,0.0,0.04918032786885246
