value,Wall,Door_Start,Door,Door_Passed
0,0.014453477868112014,0.012658227848101266,0.0,0.0
1,0.0036133694670280035,0.0,0.00558659217877095,0.0
2,0.013550135501355014,0.02531645569620253,0.0782122905027933,0.0
3,0.02981029810298103,0.012658227848101266,0.19553072625698323,0.0
4,0.3974706413730804,0.379746835443038,0.30446927374301674,0.171875
5,0.4408310749774164,0.4430379746835443,0.27932960893854747,0.625
6,0.04968383017163505,0.05063291139240506,0.11173184357541899,0.203125
7,0.024390243902439025,0.02531645569620253,0.025139664804469275,0.0
8,0.018066847335140017,0.012658227848101266,0.0,0.0
9,0.008130081300813009,0.0379746835443038,0.0,0.0
