value,Wall,Door_Start,Door,Door_Passed
0,0.05084745762711865,0.0,0.0,0.0
1,0.01694915254237288,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.05084745762711865,0.0,0.19047619047619047,0.0
4,0.06779661016949153,0.25,0.047619047619047616,0.0
5,0.3389830508474576,0.25,0.09523809523809523,0.5
6,0.4067796610169492,0.5,0.23809523809523808,0.5
7,0.05084745762711865,0.0,0.23809523809523808,0.0
8,0.01694915254237288,0.0,0.14285714285714285,0.0
9,0.0,0.0,0.047619047619047616,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
