value,Wall,Door_Start,Door,Door_Passed
0,0.28266331658291455,0.2711864406779661,0.313953488372093,0.04918032786885246
1,0.02512562814070352,0.01694915254237288,0.031007751937984496,0.01639344262295082
2,0.04648241206030151,0.01694915254237288,0.027131782945736434,0.0
3,0.022613065326633167,0.06779661016949153,0.01937984496124031,0.0
4,0.02763819095477387,0.03389830508474576,0.023255813953488372,0.0
5,0.04522613065326633,0.05084745762711865,0.050387596899224806,0.01639344262295082
6,0.022613065326633167,0.05084745762711865,0.031007751937984496,0.0
7,0.04020100502512563,0.1016949152542373,0.023255813953488372,0.01639344262295082
8,0.017587939698492462,0.01694915254237288,0.046511627906976744,0.01639344262295082
9,0.46984924623115576,0.3728813559322034,0.43410852713178294,0.8852459016393442
