value,Wall,Door_Start,Door,Door_Passed
0,0.06773399014778325,0.0,0.003861003861003861,0.0
1,0.003694581280788177,0.0,0.007722007722007722,0.0
2,0.013546798029556651,0.0,0.06177606177606178,0.11363636363636363
3,0.0480295566502463,0.01694915254237288,0.0694980694980695,0.38636363636363635
4,0.35098522167487683,0.23728813559322035,0.2702702702702703,0.3409090909090909
5,0.41133004926108374,0.711864406779661,0.4555984555984556,0.11363636363636363
6,0.06157635467980296,0.03389830508474576,0.10038610038610038,0.045454545454545456
7,0.020935960591133004,0.0,0.02702702702702703,0.0
8,0.014778325123152709,0.0,0.0,0.0
9,0.007389162561576354,0.0,0.003861003861003861,0.0
