value,Wall,Door_Start,Door,Door_Passed
0,0.062127659574468086,0.0,0.0026595744680851063,0.0
1,0.003404255319148936,0.0,0.005319148936170213,0.0
2,0.01276595744680851,0.0,0.07712765957446809,0.04411764705882353
3,0.03829787234042553,0.012048192771084338,0.10904255319148937,0.29411764705882354
4,0.3668085106382979,0.2891566265060241,0.30319148936170215,0.38235294117647056
5,0.3974468085106383,0.6385542168674698,0.3670212765957447,0.27941176470588236
6,0.07063829787234042,0.060240963855421686,0.08776595744680851,0.0
7,0.022127659574468085,0.0,0.03723404255319149,0.0
8,0.017872340425531916,0.0,0.0026595744680851063,0.0
9,0.00851063829787234,0.0,0.007978723404255319,0.0
