value,Wall,Door_Start,Door,Door_Passed
0,0.0,0.0,0.0,0.375
1,0.003875968992248062,0.0,0.0,0.125
2,0.011627906976744186,0.0,0.0,0.25
3,0.027131782945736434,0.125,0.020618556701030927,0.125
4,0.03488372093023256,0.0,0.07216494845360824,0.0625
5,0.41472868217054265,0.0625,0.3402061855670103,0.0
6,0.46511627906976744,0.0,0.31958762886597936,0.0
7,0.027131782945736434,0.125,0.16494845360824742,0.0
8,0.003875968992248062,0.5,0.07216494845360824,0.0625
9,0.011627906976744186,0.125,0.010309278350515464,0.0
10,0.0,0.0625,0.0,0.0
11,0.0,0.0,0.0,0.0
