value,Wall,Door_Start,Door,Door_Passed
0,0.03389830508474576,0.0,0.0,0.0
1,0.03389830508474576,0.0,0.0,0.0
2,0.01694915254237288,0.25,0.0,0.0
3,0.06779661016949153,0.0,0.0,0.0
4,0.06779661016949153,0.0,0.14285714285714285,0.0
5,0.3050847457627119,0.25,0.09523809523809523,1.0
6,0.4406779661016949,0.5,0.23809523809523808,0.0
7,0.01694915254237288,0.0,0.19047619047619047,0.0
8,0.01694915254237288,0.0,0.23809523809523808,0.0
9,0.0,0.0,0.047619047619047616,0.0
10,0.0,0.0,0.047619047619047616,0.0
11,0.0,0.0,0.0,0.0
