value,Wall,Door_Start,Door,Door_Passed,Wall_End
0,0.2148936170212766,0.025,0.0071428571428571435,0.025,0.02
1,0.06595744680851064,0.025,0.0071428571428571435,0.025,0.62
2,0.23617021276595743,0.275,0.15,0.525,0.22000000000000003
3,0.38510638297872346,0.275,0.36428571428571427,0.025,0.02
4,0.04468085106382979,0.025,0.2928571428571428,0.275,0.02
5,0.04468085106382979,0.275,0.15,0.025,0.02
6,0.002127659574468085,0.025,0.0071428571428571435,0.025,0.02
7,0.002127659574468085,0.025,0.0071428571428571435,0.025,0.02
8,0.002127659574468085,0.025,0.0071428571428571435,0.025,0.02
9,0.002127659574468085,0.025,0.0071428571428571435,0.025,0.02
