value,Wall,Door_Start,Door,Door_Passed
0,0.30752688172043013,0.37142857142857144,0.20689655172413793,0.02702702702702703
1,0.02795698924731183,0.08571428571428572,0.006896551724137931,0.0
2,0.034408602150537634,0.02857142857142857,0.0,0.02702702702702703
3,0.02795698924731183,0.05714285714285714,0.006896551724137931,0.0
4,0.030107526881720432,0.05714285714285714,0.0,0.0
5,0.053763440860215055,0.02857142857142857,0.04827586206896552,0.0
6,0.034408602150537634,0.0,0.020689655172413793,0.02702702702702703
7,0.05161290322580645,0.02857142857142857,0.006896551724137931,0.0
8,0.021505376344086023,0.05714285714285714,0.020689655172413793,0.0
9,0.410752688172043,0.2857142857142857,0.6827586206896552,0.918918918918919
