value,Wall,Door_Start,Door,Door_Passed
0,0.20795107033639143,0.15,0.12698412698412698,0.05
1,0.04892966360856269,0.0,0.015873015873015872,0.0
2,0.09174311926605505,0.0,0.031746031746031744,0.1
3,0.0672782874617737,0.05,0.031746031746031744,0.05
4,0.07033639143730887,0.05,0.023809523809523808,0.0
5,0.11314984709480122,0.25,0.0873015873015873,0.1
6,0.0672782874617737,0.05,0.06349206349206349,0.15
7,0.0672782874617737,0.15,0.07936507936507936,0.1
8,0.06116207951070336,0.1,0.047619047619047616,0.0
9,0.20489296636085627,0.2,0.49206349206349204,0.45
