value,Wall,Door_Start,Door,Door_Passed
0,0.4014285714285714,0.20754716981132076,0.1559633027522936,0.2
1,0.054285714285714284,0.05660377358490566,0.06880733944954129,0.05454545454545454
2,0.09285714285714286,0.05660377358490566,0.05963302752293578,0.07272727272727272
3,0.1,0.1509433962264151,0.13761467889908258,0.18181818181818182
4,0.12571428571428572,0.22641509433962265,0.25688073394495414,0.23636363636363636
5,0.07285714285714286,0.11320754716981132,0.12844036697247707,0.05454545454545454
6,0.05714285714285714,0.11320754716981132,0.08256880733944955,0.07272727272727272
7,0.03857142857142857,0.07547169811320754,0.08256880733944955,0.07272727272727272
8,0.03571428571428571,0.0,0.0045871559633027525,0.05454545454545454
9,0.02142857142857143,0.0,0.022935779816513763,0.0
