value,Wall,Door_Start,Door,Door_Passed
0,0.03934426229508197,0.0,0.0,0.0
1,0.003278688524590164,0.0,0.0,0.0
2,0.01639344262295082,0.0,0.008547008547008548,0.041666666666666664
3,0.03278688524590164,0.041666666666666664,0.06837606837606838,0.125
4,0.12786885245901639,0.16666666666666666,0.1794871794871795,0.041666666666666664
5,0.11147540983606558,0.16666666666666666,0.1452991452991453,0.20833333333333334
6,0.08196721311475409,0.0,0.07692307692307693,0.20833333333333334
7,0.14426229508196722,0.25,0.13675213675213677,0.041666666666666664
8,0.13114754098360656,0.125,0.07692307692307693,0.041666666666666664
9,0.3114754098360656,0.25,0.3076923076923077,0.2916666666666667
