value,Wall,Door_Start,Door,Door_Passed,Wall_End
0,0.12735462735462735,0.00617283950617284,0.0017482517482517483,0.00617283950617284,0.003012048192771084
1,0.0085995085995086,0.00617283950617284,0.0017482517482517483,0.00617283950617284,0.03313253012048193
2,0.0085995085995086,0.00617283950617284,0.0017482517482517483,0.00617283950617284,0.003012048192771084
3,0.020884520884520884,0.00617283950617284,0.019230769230769232,0.00617283950617284,0.09337349397590361
4,0.07411957411957412,0.00617283950617284,0.05419580419580419,0.06790123456790124,0.15361445783132527
5,0.3525798525798526,0.5617283950617284,0.42132867132867136,0.06790123456790124,0.18373493975903613
6,0.3321048321048321,0.3765432098765432,0.3513986013986014,0.06790123456790124,0.18373493975903613
7,0.04135954135954136,0.00617283950617284,0.0017482517482517483,0.19135802469135804,0.18373493975903613
8,0.033169533169533166,0.00617283950617284,0.03671328671328671,0.25308641975308643,0.09337349397590361
9,0.0004095004095004095,0.00617283950617284,0.08916083916083915,0.3148148148148148,0.06325301204819277
10,0.0004095004095004095,0.00617283950617284,0.019230769230769232,0.00617283950617284,0.003012048192771084
11,0.0004095004095004095,0.00617283950617284,0.0017482517482517483,0.00617283950617284,0.003012048192771084
