value,Wall,Door_Start,Door,Door_Passed
0,0.3353191489361702,0.2891566265060241,0.25,0.35294117647058826
1,0.020425531914893616,0.012048192771084338,0.02127659574468085,0.04411764705882353
2,0.03148936170212766,0.03614457831325301,0.03723404255319149,0.04411764705882353
3,0.01446808510638298,0.024096385542168676,0.0398936170212766,0.029411764705882353
4,0.009361702127659575,0.060240963855421686,0.0398936170212766,0.04411764705882353
5,0.03404255319148936,0.03614457831325301,0.06648936170212766,0.058823529411764705
6,0.01957446808510638,0.024096385542168676,0.031914893617021274,0.029411764705882353
7,0.026382978723404255,0.03614457831325301,0.05585106382978723,0.014705882352941176
8,0.01957446808510638,0.03614457831325301,0.034574468085106384,0.014705882352941176
9,0.48936170212765956,0.4457831325301205,0.4228723404255319,0.36764705882352944
