value,Wall,Door_Start,Door,Door_Passed,Wall_End
0,0.04139344262295082,0.00625,0.14210526315789473,0.06875,0.06363636363636364
1,0.012704918032786885,0.00625,0.14210526315789473,0.31875,0.15454545454545454
2,0.20942622950819673,0.13125,0.19473684210526315,0.06875,0.12424242424242424
3,0.1889344262295082,0.19375,0.17719298245614035,0.06875,0.09393939393939395
4,0.1807377049180328,0.31875,0.10701754385964912,0.19375,0.18484848484848485
5,0.16024590163934427,0.13125,0.0719298245614035,0.00625,0.09393939393939395
6,0.024999999999999998,0.06875,0.0719298245614035,0.13125,0.09393939393939395
7,0.07827868852459018,0.00625,0.01929824561403509,0.06875,0.09393939393939395
8,0.024999999999999998,0.06875,0.0368421052631579,0.00625,0.03333333333333333
9,0.07827868852459018,0.06875,0.0368421052631579,0.06875,0.06363636363636364
