value,Wall,Door_Start,Door,Door_Passed
0,0.2711864406779661,0.5,0.23809523809523808,0.0
1,0.01694915254237288,0.0,0.0,0.0
2,0.05084745762711865,0.0,0.047619047619047616,0.0
3,0.03389830508474576,0.0,0.0,0.0
4,0.01694915254237288,0.0,0.047619047619047616,0.0
5,0.1016949152542373,0.0,0.09523809523809523,0.5
6,0.1016949152542373,0.0,0.09523809523809523,0.25
7,0.1016949152542373,0.25,0.047619047619047616,0.25
8,0.05084745762711865,0.0,0.0,0.0
9,0.2542372881355932,0.25,0.42857142857142855,0.0
