value,Wall,Door_Start,Door,Door_Passed,Wall_End
0,0.16434426229508198,0.00625,0.0017543859649122807,0.00625,0.0030303030303030303
1,0.012704918032786885,0.00625,0.0017543859649122807,0.00625,0.0030303030303030303
2,0.05368852459016393,0.00625,0.0017543859649122807,0.00625,0.15454545454545454
3,0.04959016393442623,0.00625,0.0017543859649122807,0.00625,0.18484848484848485
4,0.3241803278688524,0.19375,0.4052631578947369,0.31875,0.24545454545454545
5,0.30368852459016393,0.69375,0.5807017543859649,0.56875,0.18484848484848485
6,0.04959016393442623,0.06875,0.0017543859649122807,0.06875,0.12424242424242424
7,0.029098360655737704,0.00625,0.0017543859649122807,0.00625,0.06363636363636364
8,0.00860655737704918,0.00625,0.0017543859649122807,0.00625,0.0030303030303030303
9,0.004508196721311476,0.00625,0.0017543859649122807,0.00625,0.03333333333333333
