value,Wall,Door_Start,Door,Door_Passed
0,0.011627906976744186,0.0,0.0,0.0625
1,0.003875968992248062,0.0,0.0,0.0625
2,0.007751937984496124,0.0,0.0,0.125
3,0.015503875968992248,0.4375,0.0,0.25
4,0.03488372093023256,0.4375,0.0,0.5
5,0.38372093023255816,0.0625,0.3402061855670103,0.0
6,0.4689922480620155,0.0,0.32989690721649484,0.0
7,0.050387596899224806,0.0,0.20618556701030927,0.0
8,0.015503875968992248,0.0625,0.08247422680412371,0.0
9,0.007751937984496124,0.0,0.041237113402061855,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
