value,Wall,Door_Start,Door,Door_Passed
0,0.03870967741935484,0.0,0.006896551724137931,0.0
1,0.0064516129032258064,0.0,0.013793103448275862,0.0
2,0.023655913978494623,0.0,0.14482758620689656,0.0
3,0.034408602150537634,0.0,0.18620689655172415,0.0
4,0.3741935483870968,0.4857142857142857,0.32413793103448274,0.2702702702702703
5,0.4043010752688172,0.4,0.2206896551724138,0.4594594594594595
6,0.06666666666666667,0.08571428571428572,0.07586206896551724,0.2702702702702703
7,0.02795698924731183,0.02857142857142857,0.020689655172413793,0.0
8,0.015053763440860216,0.0,0.0,0.0
9,0.008602150537634409,0.0,0.006896551724137931,0.0
