value,Wall,Door_Start,Door,Door_Passed
0,0.024464831804281346,0.0,0.0,0.0
1,0.0061162079510703364,0.0,0.0,0.0
2,0.024464831804281346,0.05,0.0,0.0
3,0.024464831804281346,0.05,0.031746031746031744,0.05
4,0.04892966360856269,0.1,0.047619047619047616,0.1
5,0.37920489296636084,0.35,0.30952380952380953,0.85
6,0.43730886850152906,0.4,0.30158730158730157,0.0
7,0.027522935779816515,0.05,0.19047619047619047,0.0
8,0.021406727828746176,0.0,0.09523809523809523,0.0
9,0.0061162079510703364,0.0,0.023809523809523808,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
