location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,IR8,IR9,PIDP1,PIDP2,PIDP3,PIDP4,PIDP5,PIDP6,PIDP7,PIDP8,PIDP9,PIDD1,PIDD2,PIDD3,PIDD4,PIDD5,PIDD6,PIDD7,PIDD8,PIDD9,PIDI1,PIDI2,PIDI3,PIDI4,PIDI5,PIDI6,PIDI7,PIDI8,PIDI9,BI1,BI2,BI3,BI4,BI5,BI6,BI7,BI8,BI9
Wall,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,1,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,0,0,11,9,6,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,3,1,0,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,0,11,9,6,5,0,0,0,0,0,0,2,4,5,0,0,0,0,0,0,9,9,9,0,0,0,0,0,3,1,0,0,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,11,9,6,5,4,0,0,0,0,0,2,4,5,5,0,0,0,0,0,9,9,9,0,0,0,0,0,3,1,0,0,1,False,False,False,False,False,False,False,False,False
Wall,0,0,0,11,9,6,5,4,5,0,0,0,0,2,4,5,5,5,0,0,0,0,9,9,9,0,0,0,0,0,3,1,0,0,1,1,False,False,False,False,False,False,False,False,False
Door_Start,0,0,11,9,6,5,4,5,6,0,0,0,2,4,5,5,5,5,0,0,0,9,9,9,0,0,9,0,0,3,1,0,0,1,1,1,False,False,False,False,False,False,False,False,False
Door,0,11,9,6,5,4,5,6,4,0,0,2,4,5,5,5,5,6,0,0,9,9,9,0,0,9,9,0,3,1,0,0,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,11,9,6,5,4,5,6,4,6,0,2,4,5,5,5,5,6,4,0,9,9,9,0,0,9,9,9,3,1,0,0,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,9,6,5,4,5,6,4,6,4,2,4,5,5,5,5,6,4,5,9,9,9,0,0,9,9,9,9,1,0,0,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,6,5,4,5,6,4,6,4,4,4,5,5,5,5,6,4,5,6,9,9,0,0,9,9,9,9,3,0,0,1,1,1,1,1,1,2,False,False,False,False,False,False,False,False,False
Door,5,4,5,6,4,6,4,4,4,5,5,5,5,6,4,5,6,6,9,0,0,9,9,9,9,3,0,0,1,1,1,1,1,1,2,3,False,False,False,False,False,False,False,False,False
Door_Passed,4,5,6,4,6,4,4,4,4,5,5,5,6,4,5,6,6,6,0,0,9,9,9,9,3,0,9,1,1,1,1,1,1,2,3,4,False,False,False,False,False,False,False,False,False
Wall,5,6,4,6,4,4,4,4,5,5,5,6,4,5,6,6,6,5,0,9,9,9,9,3,0,9,0,1,1,1,1,1,2,3,4,5,False,False,False,False,False,False,False,False,False
Wall,6,4,6,4,4,4,4,5,6,5,6,4,5,6,6,6,5,4,9,9,9,9,3,0,9,0,9,1,1,1,1,2,3,4,5,4,False,False,False,False,False,False,False,False,False
Wall,4,6,4,4,4,4,5,6,7,6,4,5,6,6,6,5,4,4,9,9,9,3,0,9,0,9,9,1,1,1,2,3,4,5,4,4,False,False,False,False,False,False,False,False,False
Wall,6,4,4,4,4,5,6,7,6,4,5,6,6,6,5,4,4,4,9,9,3,0,9,0,9,9,2,1,1,2,3,4,5,4,4,3,False,False,False,False,False,False,False,False,False
Wall,4,4,4,4,5,6,7,6,6,5,6,6,6,5,4,4,4,4,9,3,0,9,0,9,9,2,9,1,2,3,4,5,4,4,3,3,False,False,False,False,False,False,False,False,False
Wall,4,4,4,5,6,7,6,6,6,6,6,6,5,4,4,4,4,4,3,0,9,0,9,9,2,9,9,2,3,4,5,4,4,3,3,3,False,False,False,False,False,False,False,False,False
Wall,4,4,5,6,7,6,6,6,5,6,6,5,4,4,4,4,4,5,0,9,0,9,9,2,9,9,9,3,4,5,4,4,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,4,5,6,7,6,6,6,5,5,6,5,4,4,4,4,4,5,5,9,0,9,9,2,9,9,9,5,4,5,4,4,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,5,6,7,6,6,6,5,5,5,5,4,4,4,4,4,5,5,5,0,9,9,2,9,9,9,5,5,5,4,4,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,6,7,6,6,6,5,5,5,5,4,4,4,4,4,5,5,5,5,9,9,2,9,9,9,5,5,9,4,4,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,7,6,6,6,5,5,5,5,5,4,4,4,4,5,5,5,5,5,9,2,9,9,9,5,5,9,0,4,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,6,6,6,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,2,9,9,9,5,5,9,0,0,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,6,6,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,9,9,9,5,5,9,0,0,9,3,3,3,3,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,6,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,9,9,5,5,9,0,0,9,0,3,3,3,3,3,3,3,3,4,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,9,5,5,9,0,0,9,0,0,3,3,3,3,3,3,3,4,3,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,9,0,0,9,0,0,9,3,3,3,3,3,3,4,3,3,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,9,0,0,9,0,0,9,9,3,3,3,3,3,4,3,3,3,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,5,5,5,9,0,0,9,0,0,9,9,1,3,3,3,3,4,3,3,3,4,False,False,False,False,False,False,False,False,False
