location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,IR8,IR9,PIDP1,PIDP2,PIDP3,PIDP4,PIDP5,PIDP6,PIDP7,PIDP8,PIDP9,PIDD1,PIDD2,PIDD3,PIDD4,PIDD5,PIDD6,PIDD7,PIDD8,PIDD9,PIDI1,PIDI2,PIDI3,PIDI4,PIDI5,PIDI6,PIDI7,PIDI8,PIDI9,BI1,BI2,BI3,BI4,BI5,BI6,BI7,BI8,BI9
Door,3,3,4,3,6,5,5,4,4,6,7,6,6,4,5,5,6,6,9,0,9,9,9,9,9,9,0,6,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False
Door_Passed,3,4,3,6,5,5,4,4,5,7,6,6,4,5,5,6,6,5,0,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,False,False,False,False
Door_Passed,4,3,6,5,5,4,4,5,3,6,6,4,5,5,6,6,5,7,9,9,9,9,9,9,0,0,9,0,0,0,0,0,0,0,1,1,False,False,False,False,False,False,False,False,False
Wall,3,6,5,5,4,4,5,3,8,6,4,5,5,6,6,5,7,2,9,9,9,9,9,0,0,9,0,0,0,0,0,0,0,1,1,3,False,False,False,False,False,False,False,False,False
Wall,6,5,5,4,4,5,3,8,8,4,5,5,6,6,5,7,2,2,9,9,9,9,0,0,9,0,9,0,0,0,0,0,1,1,3,1,False,False,False,False,False,False,False,False,False
Wall,5,5,4,4,5,3,8,8,7,5,5,6,6,5,7,2,2,3,9,9,9,0,0,9,0,9,0,0,0,0,0,1,1,3,1,0,False,False,False,False,False,False,False,False,False
Wall,5,4,4,5,3,8,8,7,7,5,6,6,5,7,2,2,3,4,9,9,0,0,9,0,9,0,9,0,0,0,1,1,3,1,0,0,False,False,False,False,False,False,False,False,False
Wall,4,4,5,3,8,8,7,7,6,6,6,5,7,2,2,3,4,4,9,0,0,9,0,9,0,9,9,0,0,1,1,3,1,0,0,0,False,False,False,False,False,False,False,False,False
Wall,4,5,3,8,8,7,7,6,5,6,5,7,2,2,3,4,4,5,0,0,9,0,9,0,9,9,9,0,1,1,3,1,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,5,3,8,8,7,7,6,5,5,5,7,2,2,3,4,4,5,5,0,9,0,9,0,9,9,9,6,1,1,3,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,3,8,8,7,7,6,5,5,5,7,2,2,3,4,4,5,5,5,9,0,9,0,9,9,9,6,0,1,3,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,8,8,7,7,6,5,5,5,5,2,2,3,4,4,5,5,5,5,0,9,0,9,9,9,6,0,4,3,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,8,7,7,6,5,5,5,5,5,2,3,4,4,5,5,5,5,5,9,0,9,9,9,6,0,4,0,1,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,7,7,6,5,5,5,5,5,5,3,4,4,5,5,5,5,5,5,0,9,9,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,7,6,5,5,5,5,5,5,6,4,4,5,5,5,5,5,5,4,9,9,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,6,5,5,5,5,5,5,6,6,4,5,5,5,5,5,5,4,4,9,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,4,4,4,9,6,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,5,6,6,6,5,5,5,5,5,5,4,4,4,5,6,0,4,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,5,5,5,5,6,6,6,5,5,5,5,5,5,4,4,4,5,5,0,4,0,0,0,0,9,9,5,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,5,5,5,6,6,6,5,5,6,5,5,5,4,4,4,5,5,4,4,0,0,0,0,9,9,5,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,5,5,6,6,6,5,5,6,5,5,5,4,4,4,5,5,4,5,0,0,0,0,9,9,5,0,9,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,5,6,6,6,5,5,6,5,5,5,4,4,4,5,5,4,5,5,0,0,0,9,9,5,0,9,7,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,6,6,6,5,5,6,5,5,5,4,4,4,5,5,4,5,5,5,0,0,9,9,5,0,9,7,5,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
Wall,6,6,5,5,6,5,5,5,5,4,4,5,5,4,5,5,5,5,0,9,9,5,0,9,7,5,3,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False
