location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,IR8,IR9,PIDP1,PIDP2,PIDP3,PIDP4,PIDP5,PIDP6,PIDP7,PIDP8,PIDP9,PIDD1,PIDD2,PIDD3,PIDD4,PIDD5,PIDD6,PIDD7,PIDD8,PIDD9,PIDI1,PIDI2,PIDI3,PIDI4,PIDI5,PIDI6,PIDI7,PIDI8,PIDI9,BI1,BI2,BI3,BI4,BI5,BI6,BI7,BI8,BI9
Wall,0,0,0,0,0,10,10,10,9,0,0,0,0,0,1,1,2,2,0,0,0,0,0,5,9,9,9,0,0,0,0,0,4,3,3,2,False,False,False,False,False,False,False,False,False
Wall,0,0,10,10,10,9,8,8,7,0,0,1,1,2,2,3,3,4,0,0,5,9,9,9,9,0,9,0,0,4,3,3,2,2,1,1,False,False,False,False,False,False,False,False,False
Wall,10,10,9,8,8,7,6,6,6,1,2,2,3,3,4,4,4,5,9,9,9,9,0,9,9,2,9,3,3,2,2,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Wall,8,8,7,6,6,6,5,5,5,3,3,4,4,4,5,5,6,6,9,0,9,9,2,9,9,5,9,2,1,1,1,1,1,1,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,5,5,5,4,4,4,4,4,5,5,6,6,6,6,6,9,2,9,9,5,9,9,9,9,1,1,1,1,2,2,2,2,3,False,False,False,False,False,False,False,False,False
Door_Start,5,5,5,4,4,4,2,2,8,5,6,6,6,6,6,8,8,3,9,5,9,9,9,9,9,9,0,1,2,2,2,2,3,3,4,4,False,False,False,False,False,False,False,False,False
Door,4,2,2,8,9,8,8,8,8,6,8,8,3,2,2,3,3,3,9,9,9,0,0,9,9,9,9,3,3,4,4,3,3,2,2,2,False,False,False,False,False,False,False,False,False
Door,8,9,8,8,8,8,7,7,7,3,2,2,3,3,3,3,3,3,0,0,9,9,9,9,9,0,8,4,3,3,2,2,2,2,1,1,False,False,False,False,False,False,False,False,False
Door,8,8,8,7,7,7,7,7,6,3,3,3,3,3,3,4,4,4,9,9,9,9,0,8,9,9,9,2,2,2,2,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,7,7,7,7,7,6,6,6,6,3,3,3,4,4,4,4,4,5,9,0,8,9,9,9,9,5,9,2,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,7,7,6,6,6,6,6,6,5,4,4,4,4,4,5,5,5,5,9,9,9,9,5,9,9,1,9,1,1,1,1,1,1,1,1,1,False,False,False,False,False,False,False,False,False
Door,6,6,6,6,6,5,5,5,3,4,4,5,5,5,5,6,6,7,9,5,9,9,1,9,9,9,9,1,1,1,1,1,1,1,1,2,False,False,False,False,False,False,False,False,False
Door_Passed,6,6,5,5,5,3,2,2,3,5,5,5,6,6,7,8,8,7,9,1,9,9,9,9,9,9,0,1,1,1,1,1,2,3,3,4,False,False,False,False,False,False,True,True,False
Door_Passed,3,2,2,3,4,4,5,6,7,7,8,8,7,6,6,5,4,4,9,9,9,0,0,7,0,0,0,2,3,3,4,4,4,4,4,4,False,True,True,False,False,False,False,False,False
Wall,3,4,4,5,6,7,7,7,7,7,6,6,5,4,4,4,4,4,0,0,7,0,0,0,9,2,0,4,4,4,4,4,4,4,4,4,False,False,False,False,False,False,False,False,False
Wall,5,6,7,7,7,7,7,8,7,5,4,4,4,4,4,3,3,3,0,0,0,9,2,0,0,0,9,4,4,4,4,4,4,4,3,3,False,False,False,False,False,False,False,False,False
Wall,7,7,7,7,8,7,7,7,7,4,4,4,3,3,3,4,4,4,9,2,0,0,0,9,9,5,7,4,4,4,4,3,3,3,3,3,False,False,False,False,False,False,False,False,False
Wall,7,8,7,7,7,7,7,7,7,3,3,3,4,4,4,4,4,4,0,0,9,9,5,7,9,9,9,4,3,3,3,3,3,3,2,2,False,False,False,False,False,False,False,False,False
Wall,7,7,7,7,7,7,6,6,6,4,4,4,4,4,4,4,4,4,9,5,7,9,9,9,9,3,9,3,3,3,3,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,7,7,7,6,6,6,6,6,6,4,4,4,4,4,4,5,5,5,9,9,9,9,3,9,9,4,5,3,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,5,5,5,9,3,9,9,4,5,9,0,9,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,9,4,5,9,0,9,2,9,1,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,9,0,9,2,9,1,5,8,7,2,2,2,2,2,2,2,2,2,False,False,False,False,False,False,False,False,False
Wall,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,2,9,1,5,8,7,9,5,0,2,2,2,2,2,2,3,3,3,False,False,False,False,False,False,False,False,False
